"STATISTIC Label","Month","Type of Fertiliser","UNIT","VALUE"
"Fertiliser Price","2019 August","Compound 18-6-12","Euro per Tonne","382"
"Fertiliser Price","2019 August","Compound 24-2.5-10","Euro per Tonne","391"
"Fertiliser Price","2019 August","Compound 27-2.5-5","Euro per Tonne","382"
"Fertiliser Price","2019 August","Sulphate of Potash (42% K)","Euro per Tonne",""
"Fertiliser Price","2019 August","Compound 8-5-18","Euro per Tonne",""
"Fertiliser Price","2019 August","Compound 20-4-10","Euro per Tonne","373"
"Fertiliser Price","2019 August","Sulphate of Ammonia (21%)","Euro per Tonne",""
"Fertiliser Price","2019 August","Ammonium Sulphate Nitrate (26%)","Euro per Tonne",""
"Fertiliser Price","2019 August","Compound 10-5-25","Euro per Tonne","392"
"Fertiliser Price","2019 August","Compound 13-6-20","Euro per Tonne","405"
"Fertiliser Price","2019 August","Compound 15-3-20","Euro per Tonne","379"
"Fertiliser Price","2019 August","Compound 24-2.2-10","Euro per Tonne",""
"Fertiliser Price","2019 August","Compound 24-2.2-4.5","Euro per Tonne","346"
"Fertiliser Price","2019 August","Compound 19-0-15","Euro per Tonne","355"
"Fertiliser Price","2019 August","Compound 25-4-0","Euro per Tonne","360"
"Fertiliser Price","2019 September","Calcium Ammonium Nitrate (27.5% N)","Euro per Tonne","275"
"Fertiliser Price","2019 September","Urea (46% N)","Euro per Tonne","370"
"Fertiliser Price","2019 September","Granular Superphosphate (16% P)","Euro per Tonne","402"
"Fertiliser Price","2019 September","Muriate of Potash (50% K)","Euro per Tonne","388"
"Fertiliser Price","2019 September","Compound 0-10-20","Euro per Tonne","383"
"Fertiliser Price","2019 September","Compound 0-7-30","Euro per Tonne","387"
"Fertiliser Price","2019 September","Compound 7-6-17","Euro per Tonne","472"
"Fertiliser Price","2019 September","Compound 10-10-20","Euro per Tonne","411"
"Fertiliser Price","2019 September","Compound 14-7-14","Euro per Tonne","392"
"Fertiliser Price","2019 September","Compound 18-6-12","Euro per Tonne","380"
"Fertiliser Price","2019 September","Compound 24-2.5-10","Euro per Tonne","389"
"Fertiliser Price","2019 September","Compound 27-2.5-5","Euro per Tonne","380"
"Fertiliser Price","2019 September","Sulphate of Potash (42% K)","Euro per Tonne",""
"Fertiliser Price","2019 September","Compound 8-5-18","Euro per Tonne",""
"Fertiliser Price","2019 September","Compound 20-4-10","Euro per Tonne","370"
"Fertiliser Price","2019 September","Sulphate of Ammonia (21%)","Euro per Tonne",""
"Fertiliser Price","2019 September","Ammonium Sulphate Nitrate (26%)","Euro per Tonne",""
"Fertiliser Price","2019 September","Compound 10-5-25","Euro per Tonne","389"
"Fertiliser Price","2019 September","Compound 13-6-20","Euro per Tonne","402"
"Fertiliser Price","2019 September","Compound 15-3-20","Euro per Tonne","377"
"Fertiliser Price","2019 September","Compound 24-2.2-10","Euro per Tonne",""
"Fertiliser Price","2019 September","Compound 24-2.2-4.5","Euro per Tonne","344"
"Fertiliser Price","2019 September","Compound 19-0-15","Euro per Tonne","353"
"Fertiliser Price","2019 September","Compound 25-4-0","Euro per Tonne","358"
"Fertiliser Price","2019 October","Calcium Ammonium Nitrate (27.5% N)","Euro per Tonne","275"
"Fertiliser Price","2019 October","Urea (46% N)","Euro per Tonne","369"
"Fertiliser Price","2019 October","Granular Superphosphate (16% P)","Euro per Tonne","402"
"Fertiliser Price","2019 October","Muriate of Potash (50% K)","Euro per Tonne","388"
"Fertiliser Price","2019 October","Compound 0-10-20","Euro per Tonne","383"
"Fertiliser Price","2019 October","Compound 0-7-30","Euro per Tonne","386"
"Fertiliser Price","2019 October","Compound 7-6-17","Euro per Tonne","471"
"Fertiliser Price","2019 October","Compound 10-10-20","Euro per Tonne","411"
"Fertiliser Price","2019 October","Compound 14-7-14","Euro per Tonne","391"
"Fertiliser Price","2019 October","Compound 18-6-12","Euro per Tonne","379"
"Fertiliser Price","2019 October","Compound 24-2.5-10","Euro per Tonne","388"
"Fertiliser Price","2019 October","Compound 27-2.5-5","Euro per Tonne","380"
"Fertiliser Price","2019 October","Sulphate of Potash (42% K)","Euro per Tonne",""
"Fertiliser Price","2019 October","Compound 8-5-18","Euro per Tonne",""
"Fertiliser Price","2019 October","Compound 20-4-10","Euro per Tonne","368"
"Fertiliser Price","2019 October","Sulphate of Ammonia (21%)","Euro per Tonne",""
"Fertiliser Price","2019 October","Ammonium Sulphate Nitrate (26%)","Euro per Tonne","316"
"Fertiliser Price","2019 October","Compound 10-5-25","Euro per Tonne","388"
"Fertiliser Price","2019 October","Compound 13-6-20","Euro per Tonne","398"
"Fertiliser Price","2019 October","Compound 15-3-20","Euro per Tonne","377"
"Fertiliser Price","2019 October","Compound 24-2.2-10","Euro per Tonne",""
"Fertiliser Price","2019 October","Compound 24-2.2-4.5","Euro per Tonne","344"
"Fertiliser Price","2019 October","Compound 19-0-15","Euro per Tonne","353"
"Fertiliser Price","2019 October","Compound 25-4-0","Euro per Tonne","358"
"Fertiliser Price","2019 November","Calcium Ammonium Nitrate (27.5% N)","Euro per Tonne","274"
"Fertiliser Price","2019 November","Urea (46% N)","Euro per Tonne","367"
"Fertiliser Price","2019 November","Granular Superphosphate (16% P)","Euro per Tonne","397"
"Fertiliser Price","2019 November","Muriate of Potash (50% K)","Euro per Tonne","386"
"Fertiliser Price","2019 November","Compound 0-10-20","Euro per Tonne","382"
"Fertiliser Price","2019 November","Compound 0-7-30","Euro per Tonne","386"
"Fertiliser Price","2019 November","Compound 7-6-17","Euro per Tonne","469"
"Fertiliser Price","2019 November","Compound 10-10-20","Euro per Tonne","409"
"Fertiliser Price","2019 November","Compound 14-7-14","Euro per Tonne","387"
"Fertiliser Price","2019 November","Compound 18-6-12","Euro per Tonne","377"
"Fertiliser Price","2019 November","Compound 24-2.5-10","Euro per Tonne","387"
"Fertiliser Price","2019 November","Compound 27-2.5-5","Euro per Tonne","379"
"Fertiliser Price","2019 November","Sulphate of Potash (42% K)","Euro per Tonne",""
"Fertiliser Price","2019 November","Compound 8-5-18","Euro per Tonne",""
"Fertiliser Price","2019 November","Compound 20-4-10","Euro per Tonne","364"
"Fertiliser Price","2019 November","Sulphate of Ammonia (21%)","Euro per Tonne",""
"Fertiliser Price","2019 November","Ammonium Sulphate Nitrate (26%)","Euro per Tonne","316"
"Fertiliser Price","2019 November","Compound 10-5-25","Euro per Tonne","386"
"Fertiliser Price","2019 November","Compound 13-6-20","Euro per Tonne","397"
"Fertiliser Price","2019 November","Compound 15-3-20","Euro per Tonne","375"
"Fertiliser Price","2019 November","Compound 24-2.2-10","Euro per Tonne",""
"Fertiliser Price","2019 November","Compound 24-2.2-4.5","Euro per Tonne","343"
"Fertiliser Price","2019 November","Compound 19-0-15","Euro per Tonne","350"
"Fertiliser Price","2019 November","Compound 25-4-0","Euro per Tonne","357"
"Fertiliser Price","2019 December","Calcium Ammonium Nitrate (27.5% N)","Euro per Tonne","268"
"Fertiliser Price","2019 December","Urea (46% N)","Euro per Tonne","363"
"Fertiliser Price","2019 December","Granular Superphosphate (16% P)","Euro per Tonne","394"
"Fertiliser Price","2019 December","Muriate of Potash (50% K)","Euro per Tonne","384"
"Fertiliser Price","2019 December","Compound 0-10-20","Euro per Tonne","381"
"Fertiliser Price","2019 December","Compound 0-7-30","Euro per Tonne","383"
"Fertiliser Price","2019 December","Compound 7-6-17","Euro per Tonne","464"
"Fertiliser Price","2019 December","Compound 10-10-20","Euro per Tonne","405"
"Fertiliser Price","2019 December","Compound 14-7-14","Euro per Tonne","379"
"Fertiliser Price","2019 December","Compound 18-6-12","Euro per Tonne","372"
"Fertiliser Price","2019 December","Compound 24-2.5-10","Euro per Tonne","382"
"Fertiliser Price","2019 December","Compound 27-2.5-5","Euro per Tonne","373"
"Fertiliser Price","2019 December","Sulphate of Potash (42% K)","Euro per Tonne",""
"Fertiliser Price","2019 December","Compound 8-5-18","Euro per Tonne",""
"Fertiliser Price","2019 December","Compound 20-4-10","Euro per Tonne","360"
"Fertiliser Price","2019 December","Sulphate of Ammonia (21%)","Euro per Tonne",""
"Fertiliser Price","2019 December","Ammonium Sulphate Nitrate (26%)","Euro per Tonne","304"
"Fertiliser Price","2019 December","Compound 10-5-25","Euro per Tonne","389"
"Fertiliser Price","2019 December","Compound 13-6-20","Euro per Tonne","397"
"Fertiliser Price","2019 December","Compound 15-3-20","Euro per Tonne","375"
"Fertiliser Price","2019 December","Compound 24-2.2-10","Euro per Tonne",""
"Fertiliser Price","2019 December","Compound 24-2.2-4.5","Euro per Tonne","339"
"Fertiliser Price","2019 December","Compound 19-0-15","Euro per Tonne","343"
"Fertiliser Price","2019 December","Compound 25-4-0","Euro per Tonne","350"
"Fertiliser Price","2020 January","Calcium Ammonium Nitrate (27.5% N)","Euro per Tonne","259"
"Fertiliser Price","2020 January","Urea (46% N)","Euro per Tonne","355"
"Fertiliser Price","2020 January","Granular Superphosphate (16% P)","Euro per Tonne","373"
"Fertiliser Price","2020 January","Muriate of Potash (50% K)","Euro per Tonne","373"
"Fertiliser Price","2020 January","Compound 0-10-20","Euro per Tonne","374"
"Fertiliser Price","2020 January","Compound 0-7-30","Euro per Tonne","377"
"Fertiliser Price","2020 January","Compound 7-6-17","Euro per Tonne","460"
"Fertiliser Price","2020 January","Compound 10-10-20","Euro per Tonne","390"
"Fertiliser Price","2020 January","Compound 14-7-14","Euro per Tonne","371"
"Fertiliser Price","2020 January","Compound 18-6-12","Euro per Tonne","363"
"Fertiliser Price","2020 January","Compound 24-2.5-10","Euro per Tonne","372"
"Fertiliser Price","2020 January","Compound 27-2.5-5","Euro per Tonne","363"
"Fertiliser Price","2020 January","Sulphate of Potash (42% K)","Euro per Tonne",""
"Fertiliser Price","2020 January","Compound 8-5-18","Euro per Tonne",""
"Fertiliser Price","2020 January","Compound 20-4-10","Euro per Tonne","356"
"Fertiliser Price","2020 January","Sulphate of Ammonia (21%)","Euro per Tonne",""
"Fertiliser Price","2020 January","Ammonium Sulphate Nitrate (26%)","Euro per Tonne","287"
"Fertiliser Price","2020 January","Compound 10-5-25","Euro per Tonne","368"
"Fertiliser Price","2020 January","Compound 13-6-20","Euro per Tonne","364"
"Fertiliser Price","2020 January","Compound 15-3-20","Euro per Tonne","364"
"Fertiliser Price","2020 January","Compound 24-2.2-10","Euro per Tonne",""
"Fertiliser Price","2020 January","Compound 24-2.2-4.5","Euro per Tonne","330"
"Fertiliser Price","2020 January","Compound 19-0-15","Euro per Tonne","340"
"Fertiliser Price","2020 January","Compound 25-4-0","Euro per Tonne","343"
"Fertiliser Price","2020 February","Calcium Ammonium Nitrate (27.5% N)","Euro per Tonne","250"
"Fertiliser Price","2020 February","Urea (46% N)","Euro per Tonne","345"
"Fertiliser Price","2020 February","Granular Superphosphate (16% P)","Euro per Tonne","373"
"Fertiliser Price","2020 February","Muriate of Potash (50% K)","Euro per Tonne","368"
"Fertiliser Price","2020 February","Compound 0-10-20","Euro per Tonne","372"
"Fertiliser Price","2020 February","Compound 0-7-30","Euro per Tonne","374"
"Fertiliser Price","2020 February","Compound 7-6-17","Euro per Tonne","454"
"Fertiliser Price","2020 February","Compound 10-10-20","Euro per Tonne","380"
"Fertiliser Price","2020 February","Compound 14-7-14","Euro per Tonne","368"
"Fertiliser Price","2020 February","Compound 18-6-12","Euro per Tonne","352"
"Fertiliser Price","2020 February","Compound 24-2.5-10","Euro per Tonne","361"
"Fertiliser Price","2020 February","Compound 27-2.5-5","Euro per Tonne","352"
"Fertiliser Price","2020 February","Sulphate of Potash (42% K)","Euro per Tonne",""
"Fertiliser Price","2020 February","Compound 8-5-18","Euro per Tonne",""
"Fertiliser Price","2020 February","Compound 20-4-10","Euro per Tonne","350"
"Fertiliser Price","2020 February","Sulphate of Ammonia (21%)","Euro per Tonne",""
"Fertiliser Price","2020 February","Ammonium Sulphate Nitrate (26%)","Euro per Tonne","285"
"Fertiliser Price","2020 February","Compound 10-5-25","Euro per Tonne","362"
"Fertiliser Price","2020 February","Compound 13-6-20","Euro per Tonne","360"
"Fertiliser Price","2020 February","Compound 15-3-20","Euro per Tonne","364"
"Fertiliser Price","2020 February","Compound 24-2.2-10","Euro per Tonne",""
"Fertiliser Price","2020 February","Compound 24-2.2-4.5","Euro per Tonne","313"
"Fertiliser Price","2020 February","Compound 19-0-15","Euro per Tonne","331"
"Fertiliser Price","2020 February","Compound 25-4-0","Euro per Tonne","331"
"Fertiliser Price","2020 March","Calcium Ammonium Nitrate (27.5% N)","Euro per Tonne","249"
"Fertiliser Price","2020 March","Urea (46% N)","Euro per Tonne","343"
"Fertiliser Price","2020 March","Granular Superphosphate (16% P)","Euro per Tonne","373"
"Fertiliser Price","2020 March","Muriate of Potash (50% K)","Euro per Tonne","366"
"Fertiliser Price","2020 March","Compound 0-10-20","Euro per Tonne","371"
"Fertiliser Price","2020 March","Compound 0-7-30","Euro per Tonne","373"
"Fertiliser Price","2020 March","Compound 7-6-17","Euro per Tonne","454"
"Fertiliser Price","2020 March","Compound 10-10-20","Euro per Tonne","379"
"Fertiliser Price","2020 March","Compound 14-7-14","Euro per Tonne","366"
"Fertiliser Price","2020 March","Compound 18-6-12","Euro per Tonne","350"
"Fertiliser Price","2020 March","Compound 24-2.5-10","Euro per Tonne","360"
"Fertiliser Price","2020 March","Compound 27-2.5-5","Euro per Tonne","350"
"Fertiliser Price","2020 March","Sulphate of Potash (42% K)","Euro per Tonne",""
"Fertiliser Price","2020 March","Compound 8-5-18","Euro per Tonne",""
"Fertiliser Price","2020 March","Compound 20-4-10","Euro per Tonne","349"
"Fertiliser Price","2020 March","Sulphate of Ammonia (21%)","Euro per Tonne",""
"Fertiliser Price","2020 March","Ammonium Sulphate Nitrate (26%)","Euro per Tonne","285"
"Fertiliser Price","2020 March","Compound 10-5-25","Euro per Tonne","360"
"Fertiliser Price","2020 March","Compound 13-6-20","Euro per Tonne","357"
"Fertiliser Price","2020 March","Compound 15-3-20","Euro per Tonne","362"
"Fertiliser Price","2020 March","Compound 24-2.2-10","Euro per Tonne",""
"Fertiliser Price","2020 March","Compound 24-2.2-4.5","Euro per Tonne","313"
"Fertiliser Price","2020 March","Compound 19-0-15","Euro per Tonne","329"
"Fertiliser Price","2020 March","Compound 25-4-0","Euro per Tonne","331"
"Fertiliser Price","2020 April","Calcium Ammonium Nitrate (27.5% N)","Euro per Tonne","249"
"Fertiliser Price","2020 April","Urea (46% N)","Euro per Tonne","343"
"Fertiliser Price","2020 April","Granular Superphosphate (16% P)","Euro per Tonne","373"
"Fertiliser Price","2020 April","Muriate of Potash (50% K)","Euro per Tonne","366"
"Fertiliser Price","2020 April","Compound 0-10-20","Euro per Tonne","372"
"Fertiliser Price","2020 April","Compound 0-7-30","Euro per Tonne","375"
"Fertiliser Price","2020 April","Compound 7-6-17","Euro per Tonne","458"
"Fertiliser Price","2020 April","Compound 10-10-20","Euro per Tonne","379"
"Fertiliser Price","2020 April","Compound 14-7-14","Euro per Tonne","366"
"Fertiliser Price","2020 April","Compound 18-6-12","Euro per Tonne","350"
"Fertiliser Price","2020 April","Compound 24-2.5-10","Euro per Tonne","359"
"Fertiliser Price","2020 April","Compound 27-2.5-5","Euro per Tonne","349"
"Fertiliser Price","2020 April","Sulphate of Potash (42% K)","Euro per Tonne",""
"Fertiliser Price","2020 April","Compound 8-5-18","Euro per Tonne",""
"Fertiliser Price","2020 April","Compound 20-4-10","Euro per Tonne","347"
"Fertiliser Price","2020 April","Sulphate of Ammonia (21%)","Euro per Tonne",""
"Fertiliser Price","2020 April","Ammonium Sulphate Nitrate (26%)","Euro per Tonne","285"
"Fertiliser Price","2020 April","Compound 10-5-25","Euro per Tonne","360"
"Fertiliser Price","2020 April","Compound 13-6-20","Euro per Tonne","356"
"Fertiliser Price","2020 April","Compound 15-3-20","Euro per Tonne","361"
"Fertiliser Price","2020 April","Compound 24-2.2-10","Euro per Tonne",""
"Fertiliser Price","2020 April","Compound 24-2.2-4.5","Euro per Tonne","313"
"Fertiliser Price","2020 April","Compound 19-0-15","Euro per Tonne","329"
"Fertiliser Price","2020 April","Compound 25-4-0","Euro per Tonne","330"
"Fertiliser Price","2020 May","Calcium Ammonium Nitrate (27.5% N)","Euro per Tonne","244"
"Fertiliser Price","2020 May","Urea (46% N)","Euro per Tonne","338"
"Fertiliser Price","2020 May","Granular Superphosphate (16% P)","Euro per Tonne","372"
"Fertiliser Price","2020 May","Muriate of Potash (50% K)","Euro per Tonne","366"
"Fertiliser Price","2020 May","Compound 0-10-20","Euro per Tonne","373"
"Fertiliser Price","2020 May","Compound 0-7-30","Euro per Tonne","375"
"Fertiliser Price","2020 May","Compound 7-6-17","Euro per Tonne","457"
"Fertiliser Price","2020 May","Compound 10-10-20","Euro per Tonne","376"
"Fertiliser Price","2020 May","Compound 14-7-14","Euro per Tonne","366"
"Fertiliser Price","2020 May","Compound 18-6-12","Euro per Tonne","348"
"Fertiliser Price","2020 May","Compound 24-2.5-10","Euro per Tonne","354"
"Fertiliser Price","2020 May","Compound 27-2.5-5","Euro per Tonne","344"
"Fertiliser Price","2020 May","Sulphate of Potash (42% K)","Euro per Tonne",""
"Fertiliser Price","2020 May","Compound 8-5-18","Euro per Tonne",""
"Fertiliser Price","2020 May","Compound 20-4-10","Euro per Tonne","343"
"Fertiliser Price","2020 May","Sulphate of Ammonia (21%)","Euro per Tonne",""
"Fertiliser Price","2020 May","Ammonium Sulphate Nitrate (26%)","Euro per Tonne",""
"Fertiliser Price","2020 May","Compound 10-5-25","Euro per Tonne","360"
"Fertiliser Price","2020 May","Compound 13-6-20","Euro per Tonne","358"
"Fertiliser Price","2020 May","Compound 15-3-20","Euro per Tonne","357"
"Fertiliser Price","2020 May","Compound 24-2.2-10","Euro per Tonne",""
"Fertiliser Price","2020 May","Compound 24-2.2-4.5","Euro per Tonne","320"
"Fertiliser Price","2020 May","Compound 19-0-15","Euro per Tonne","328"
"Fertiliser Price","2020 May","Compound 25-4-0","Euro per Tonne","329"
"Fertiliser Price","2020 June","Calcium Ammonium Nitrate (27.5% N)","Euro per Tonne","239"
"Fertiliser Price","2020 June","Urea (46% N)","Euro per Tonne","335"
"Fertiliser Price","2020 June","Granular Superphosphate (16% P)","Euro per Tonne","371"
"Fertiliser Price","2020 June","Muriate of Potash (50% K)","Euro per Tonne","364"
"Fertiliser Price","2020 June","Compound 0-10-20","Euro per Tonne","372"
"Fertiliser Price","2020 June","Compound 0-7-30","Euro per Tonne","373"
"Fertiliser Price","2020 June","Compound 7-6-17","Euro per Tonne","452"
"Fertiliser Price","2020 June","Compound 10-10-20","Euro per Tonne","372"
"Fertiliser Price","2020 June","Compound 14-7-14","Euro per Tonne","364"
"Fertiliser Price","2020 June","Compound 18-6-12","Euro per Tonne","343"
"Fertiliser Price","2020 June","Compound 24-2.5-10","Euro per Tonne","349"
"Fertiliser Price","2020 June","Compound 27-2.5-5","Euro per Tonne","340"
"Fertiliser Price","2020 June","Sulphate of Potash (42% K)","Euro per Tonne",""
"Fertiliser Price","2020 June","Compound 8-5-18","Euro per Tonne",""
"Fertiliser Price","2020 June","Compound 20-4-10","Euro per Tonne","341"
"Fertiliser Price","2020 June","Sulphate of Ammonia (21%)","Euro per Tonne",""
"Fertiliser Price","2020 June","Ammonium Sulphate Nitrate (26%)","Euro per Tonne",""
"Fertiliser Price","2020 June","Compound 10-5-25","Euro per Tonne","357"
"Fertiliser Price","2020 June","Compound 13-6-20","Euro per Tonne","356"
"Fertiliser Price","2020 June","Compound 15-3-20","Euro per Tonne","356"
"Fertiliser Price","2020 June","Compound 24-2.2-10","Euro per Tonne",""
"Fertiliser Price","2020 June","Compound 24-2.2-4.5","Euro per Tonne","314"
"Fertiliser Price","2020 June","Compound 19-0-15","Euro per Tonne","325"
"Fertiliser Price","2020 June","Compound 25-4-0","Euro per Tonne","321"
"Fertiliser Price","2020 July","Calcium Ammonium Nitrate (27.5% N)","Euro per Tonne","236"
"Fertiliser Price","2020 July","Urea (46% N)","Euro per Tonne","332"
"Fertiliser Price","2020 July","Granular Superphosphate (16% P)","Euro per Tonne","366"
"Fertiliser Price","2020 July","Muriate of Potash (50% K)","Euro per Tonne","362"
"Fertiliser Price","2020 July","Compound 0-10-20","Euro per Tonne","370"
"Fertiliser Price","2020 July","Compound 0-7-30","Euro per Tonne","373"
"Fertiliser Price","2020 July","Compound 7-6-17","Euro per Tonne","450"
"Fertiliser Price","2020 July","Compound 10-10-20","Euro per Tonne","369"
"Fertiliser Price","2020 July","Compound 14-7-14","Euro per Tonne","361"
"Fertiliser Price","2020 July","Compound 18-6-12","Euro per Tonne","340"
"Fertiliser Price","2020 July","Compound 24-2.5-10","Euro per Tonne","345"
"Fertiliser Price","2020 July","Compound 27-2.5-5","Euro per Tonne","336"
"Fertiliser Price","2020 July","Sulphate of Potash (42% K)","Euro per Tonne",""
"Fertiliser Price","2020 July","Compound 8-5-18","Euro per Tonne",""
"Fertiliser Price","2020 July","Compound 20-4-10","Euro per Tonne","340"
"Fertiliser Price","2020 July","Sulphate of Ammonia (21%)","Euro per Tonne",""
"Fertiliser Price","2020 July","Ammonium Sulphate Nitrate (26%)","Euro per Tonne",""
"Fertiliser Price","2020 July","Compound 10-5-25","Euro per Tonne","356"
"Fertiliser Price","2020 July","Compound 13-6-20","Euro per Tonne","356"
"Fertiliser Price","2020 July","Compound 15-3-20","Euro per Tonne","356"
"Fertiliser Price","2020 July","Compound 24-2.2-10","Euro per Tonne",""
"Fertiliser Price","2020 July","Compound 24-2.2-4.5","Euro per Tonne","299"
"Fertiliser Price","2020 July","Compound 19-0-15","Euro per Tonne","321"
"Fertiliser Price","2020 July","Compound 25-4-0","Euro per Tonne","319"
"Fertiliser Price","2020 August","Calcium Ammonium Nitrate (27.5% N)","Euro per Tonne","234"
"Fertiliser Price","2020 August","Urea (46% N)","Euro per Tonne","331"
"Fertiliser Price","2020 August","Granular Superphosphate (16% P)","Euro per Tonne","363"
"Fertiliser Price","2020 August","Muriate of Potash (50% K)","Euro per Tonne","362"
"Fertiliser Price","2020 August","Compound 0-10-20","Euro per Tonne","367"
"Fertiliser Price","2020 August","Compound 0-7-30","Euro per Tonne","370"
"Fertiliser Price","2020 August","Compound 7-6-17","Euro per Tonne","449"
"Fertiliser Price","2020 August","Compound 10-10-20","Euro per Tonne","367"
"Fertiliser Price","2020 August","Compound 14-7-14","Euro per Tonne","359"
"Fertiliser Price","2020 August","Compound 18-6-12","Euro per Tonne","338"
"Fertiliser Price","2020 August","Compound 24-2.5-10","Euro per Tonne","343"
"Fertiliser Price","2020 August","Compound 27-2.5-5","Euro per Tonne","334"
"Fertiliser Price","2020 August","Sulphate of Potash (42% K)","Euro per Tonne",""
"Fertiliser Price","2020 August","Compound 8-5-18","Euro per Tonne",""
"Fertiliser Price","2020 August","Compound 20-4-10","Euro per Tonne","340"
"Fertiliser Price","2020 August","Sulphate of Ammonia (21%)","Euro per Tonne",""
"Fertiliser Price","2020 August","Ammonium Sulphate Nitrate (26%)","Euro per Tonne",""
"Fertiliser Price","2020 August","Compound 10-5-25","Euro per Tonne","355"
"Fertiliser Price","2020 August","Compound 13-6-20","Euro per Tonne","356"
"Fertiliser Price","2020 August","Compound 15-3-20","Euro per Tonne","356"
"Fertiliser Price","2020 August","Compound 24-2.2-10","Euro per Tonne",""
"Fertiliser Price","2020 August","Compound 24-2.2-4.5","Euro per Tonne","299"
"Fertiliser Price","2020 August","Compound 19-0-15","Euro per Tonne","319"
"Fertiliser Price","2020 August","Compound 25-4-0","Euro per Tonne","319"
"Fertiliser Price","2020 September","Calcium Ammonium Nitrate (27.5% N)","Euro per Tonne","231"
"Fertiliser Price","2020 September","Urea (46% N)","Euro per Tonne","328"
"Fertiliser Price","2020 September","Granular Superphosphate (16% P)","Euro per Tonne","359"
"Fertiliser Price","2020 September","Muriate of Potash (50% K)","Euro per Tonne","359"
"Fertiliser Price","2020 September","Compound 0-10-20","Euro per Tonne","366"
"Fertiliser Price","2020 September","Compound 0-7-30","Euro per Tonne","368"
"Fertiliser Price","2020 September","Compound 7-6-17","Euro per Tonne","447"
"Fertiliser Price","2020 September","Compound 10-10-20","Euro per Tonne","366"
"Fertiliser Price","2020 September","Compound 14-7-14","Euro per Tonne","355"
"Fertiliser Price","2020 September","Compound 18-6-12","Euro per Tonne","337"
"Fertiliser Price","2020 September","Compound 24-2.5-10","Euro per Tonne","339"
"Fertiliser Price","2020 September","Compound 27-2.5-5","Euro per Tonne","330"
"Fertiliser Price","2020 September","Sulphate of Potash (42% K)","Euro per Tonne",""
"Fertiliser Price","2020 September","Compound 8-5-18","Euro per Tonne",""
"Fertiliser Price","2020 September","Compound 20-4-10","Euro per Tonne","337"
"Fertiliser Price","2020 September","Sulphate of Ammonia (21%)","Euro per Tonne",""
"Fertiliser Price","2020 September","Ammonium Sulphate Nitrate (26%)","Euro per Tonne",""
"Fertiliser Price","2020 September","Compound 10-5-25","Euro per Tonne","353"
"Fertiliser Price","2020 September","Compound 13-6-20","Euro per Tonne","349"
"Fertiliser Price","2020 September","Compound 15-3-20","Euro per Tonne","355"
"Fertiliser Price","2020 September","Compound 24-2.2-10","Euro per Tonne",""
"Fertiliser Price","2020 September","Compound 24-2.2-4.5","Euro per Tonne","296"
"Fertiliser Price","2020 September","Compound 19-0-15","Euro per Tonne","315"
"Fertiliser Price","2020 September","Compound 25-4-0","Euro per Tonne","316"
"Fertiliser Price","2020 October","Calcium Ammonium Nitrate (27.5% N)","Euro per Tonne","231"
"Fertiliser Price","2020 October","Urea (46% N)","Euro per Tonne","328"
"Fertiliser Price","2020 October","Granular Superphosphate (16% P)","Euro per Tonne","359"
"Fertiliser Price","2020 October","Muriate of Potash (50% K)","Euro per Tonne","358"
"Fertiliser Price","2020 October","Compound 0-10-20","Euro per Tonne","366"
"Fertiliser Price","2020 October","Compound 0-7-30","Euro per Tonne","368"
"Fertiliser Price","2020 October","Compound 7-6-17","Euro per Tonne","448"
"Fertiliser Price","2020 October","Compound 10-10-20","Euro per Tonne","366"
"Fertiliser Price","2020 October","Compound 14-7-14","Euro per Tonne","356"
"Fertiliser Price","2020 October","Compound 18-6-12","Euro per Tonne","337"
"Fertiliser Price","2020 October","Compound 24-2.5-10","Euro per Tonne","340"
"Fertiliser Price","2020 October","Compound 27-2.5-5","Euro per Tonne","331"
"Fertiliser Price","2020 October","Sulphate of Potash (42% K)","Euro per Tonne",""
"Fertiliser Price","2020 October","Compound 8-5-18","Euro per Tonne",""
"Fertiliser Price","2020 October","Compound 20-4-10","Euro per Tonne","338"
"Fertiliser Price","2020 October","Sulphate of Ammonia (21%)","Euro per Tonne",""
"Fertiliser Price","2020 October","Ammonium Sulphate Nitrate (26%)","Euro per Tonne",""
"Fertiliser Price","2020 October","Compound 10-5-25","Euro per Tonne","352"
"Fertiliser Price","2020 October","Compound 13-6-20","Euro per Tonne","350"
"Fertiliser Price","2020 October","Compound 15-3-20","Euro per Tonne","355"
"Fertiliser Price","2020 October","Compound 24-2.2-10","Euro per Tonne",""
"Fertiliser Price","2020 October","Compound 24-2.2-4.5","Euro per Tonne","296"
"Fertiliser Price","2020 October","Compound 19-0-15","Euro per Tonne","315"
"Fertiliser Price","2020 October","Compound 25-4-0","Euro per Tonne","316"
"Fertiliser Price","2020 November","Calcium Ammonium Nitrate (27.5% N)","Euro per Tonne","231"
"Fertiliser Price","2020 November","Urea (46% N)","Euro per Tonne","328"
"Fertiliser Price","2020 November","Granular Superphosphate (16% P)","Euro per Tonne","359"
"Fertiliser Price","2020 November","Muriate of Potash (50% K)","Euro per Tonne","358"
"Fertiliser Price","2020 November","Compound 0-10-20","Euro per Tonne","365"
"Fertiliser Price","2020 November","Compound 0-7-30","Euro per Tonne","367"
"Fertiliser Price","2020 November","Compound 7-6-17","Euro per Tonne","447"
