"STATISTIC Label","Month","Type of Fertiliser","UNIT","VALUE"
"Fertiliser Price","1980 July","Granular Superphosphate (16% P)","Euro per Tonne","175"
"Fertiliser Price","1980 July","Muriate of Potash (50% K)","Euro per Tonne","115"
"Fertiliser Price","1980 July","Compound 0-10-20","Euro per Tonne","133"
"Fertiliser Price","1980 July","Compound 0-7-30","Euro per Tonne","131"
"Fertiliser Price","1980 July","Compound 7-6-17","Euro per Tonne","168"
"Fertiliser Price","1980 July","Compound 10-10-20","Euro per Tonne","171"
"Fertiliser Price","1980 July","Compound 14-7-14","Euro per Tonne","163"
"Fertiliser Price","1980 July","Compound 18-6-12","Euro per Tonne","164"
"Fertiliser Price","1980 July","Compound 24-2.5-10","Euro per Tonne","167"
"Fertiliser Price","1980 July","Compound 27-2.5-5","Euro per Tonne","164"
"Fertiliser Price","1980 July","Sulphate of Potash (42% K)","Euro per Tonne",""
"Fertiliser Price","1980 July","Compound 8-5-18","Euro per Tonne",""
"Fertiliser Price","1980 July","Compound 20-4-10","Euro per Tonne",""
"Fertiliser Price","1980 July","Sulphate of Ammonia (21%)","Euro per Tonne",""
"Fertiliser Price","1980 July","Ammonium Sulphate Nitrate (26%)","Euro per Tonne",""
"Fertiliser Price","1980 July","Compound 10-5-25","Euro per Tonne",""
"Fertiliser Price","1980 July","Compound 13-6-20","Euro per Tonne",""
"Fertiliser Price","1980 July","Compound 15-3-20","Euro per Tonne",""
"Fertiliser Price","1980 July","Compound 24-2.2-10","Euro per Tonne",""
"Fertiliser Price","1980 July","Compound 24-2.2-4.5","Euro per Tonne",""
"Fertiliser Price","1980 July","Compound 19-0-15","Euro per Tonne",""
"Fertiliser Price","1980 July","Compound 25-4-0","Euro per Tonne",""
"Fertiliser Price","1980 August","Calcium Ammonium Nitrate (27.5% N)","Euro per Tonne","130"
"Fertiliser Price","1980 August","Urea (46% N)","Euro per Tonne","167"
"Fertiliser Price","1980 August","Granular Superphosphate (16% P)","Euro per Tonne","175"
"Fertiliser Price","1980 August","Muriate of Potash (50% K)","Euro per Tonne","115"
"Fertiliser Price","1980 August","Compound 0-10-20","Euro per Tonne","135"
"Fertiliser Price","1980 August","Compound 0-7-30","Euro per Tonne","133"
"Fertiliser Price","1980 August","Compound 7-6-17","Euro per Tonne","169"
"Fertiliser Price","1980 August","Compound 10-10-20","Euro per Tonne","172"
"Fertiliser Price","1980 August","Compound 14-7-14","Euro per Tonne","166"
"Fertiliser Price","1980 August","Compound 18-6-12","Euro per Tonne","166"
"Fertiliser Price","1980 August","Compound 24-2.5-10","Euro per Tonne","168"
"Fertiliser Price","1980 August","Compound 27-2.5-5","Euro per Tonne","164"
"Fertiliser Price","1980 August","Sulphate of Potash (42% K)","Euro per Tonne",""
"Fertiliser Price","1980 August","Compound 8-5-18","Euro per Tonne",""
"Fertiliser Price","1980 August","Compound 20-4-10","Euro per Tonne",""
"Fertiliser Price","1980 August","Sulphate of Ammonia (21%)","Euro per Tonne",""
"Fertiliser Price","1980 August","Ammonium Sulphate Nitrate (26%)","Euro per Tonne",""
"Fertiliser Price","1980 August","Compound 10-5-25","Euro per Tonne",""
"Fertiliser Price","1980 August","Compound 13-6-20","Euro per Tonne",""
"Fertiliser Price","1980 August","Compound 15-3-20","Euro per Tonne",""
"Fertiliser Price","1980 August","Compound 24-2.2-10","Euro per Tonne",""
"Fertiliser Price","1980 August","Compound 24-2.2-4.5","Euro per Tonne",""
"Fertiliser Price","1980 August","Compound 19-0-15","Euro per Tonne",""
"Fertiliser Price","1980 August","Compound 25-4-0","Euro per Tonne",""
"Fertiliser Price","1980 September","Calcium Ammonium Nitrate (27.5% N)","Euro per Tonne","124"
"Fertiliser Price","1980 September","Urea (46% N)","Euro per Tonne","166"
"Fertiliser Price","1980 September","Granular Superphosphate (16% P)","Euro per Tonne","178"
"Fertiliser Price","1980 September","Muriate of Potash (50% K)","Euro per Tonne","118"
"Fertiliser Price","1980 September","Compound 0-10-20","Euro per Tonne","146"
"Fertiliser Price","1980 September","Compound 0-7-30","Euro per Tonne","144"
"Fertiliser Price","1980 September","Compound 7-6-17","Euro per Tonne","172"
"Fertiliser Price","1980 September","Compound 10-10-20","Euro per Tonne","183"
"Fertiliser Price","1980 September","Compound 14-7-14","Euro per Tonne","174"
"Fertiliser Price","1980 September","Compound 18-6-12","Euro per Tonne","174"
"Fertiliser Price","1980 September","Compound 24-2.5-10","Euro per Tonne","170"
"Fertiliser Price","1980 September","Compound 27-2.5-5","Euro per Tonne","166"
"Fertiliser Price","1980 September","Sulphate of Potash (42% K)","Euro per Tonne",""
"Fertiliser Price","1980 September","Compound 8-5-18","Euro per Tonne",""
"Fertiliser Price","1980 September","Compound 20-4-10","Euro per Tonne",""
"Fertiliser Price","1980 September","Sulphate of Ammonia (21%)","Euro per Tonne",""
"Fertiliser Price","1980 September","Ammonium Sulphate Nitrate (26%)","Euro per Tonne",""
"Fertiliser Price","1980 September","Compound 10-5-25","Euro per Tonne",""
"Fertiliser Price","1980 September","Compound 13-6-20","Euro per Tonne",""
"Fertiliser Price","1980 September","Compound 15-3-20","Euro per Tonne",""
"Fertiliser Price","1980 September","Compound 24-2.2-10","Euro per Tonne",""
"Fertiliser Price","1980 September","Compound 24-2.2-4.5","Euro per Tonne",""
"Fertiliser Price","1980 September","Compound 19-0-15","Euro per Tonne",""
"Fertiliser Price","1980 September","Compound 25-4-0","Euro per Tonne",""
"Fertiliser Price","1980 October","Calcium Ammonium Nitrate (27.5% N)","Euro per Tonne","124"
"Fertiliser Price","1980 October","Urea (46% N)","Euro per Tonne","167"
"Fertiliser Price","1980 October","Granular Superphosphate (16% P)","Euro per Tonne","181"
"Fertiliser Price","1980 October","Muriate of Potash (50% K)","Euro per Tonne","117"
"Fertiliser Price","1980 October","Compound 0-10-20","Euro per Tonne","148"
"Fertiliser Price","1980 October","Compound 0-7-30","Euro per Tonne","146"
"Fertiliser Price","1980 October","Compound 7-6-17","Euro per Tonne","170"
"Fertiliser Price","1980 October","Compound 10-10-20","Euro per Tonne","183"
"Fertiliser Price","1980 October","Compound 14-7-14","Euro per Tonne","173"
"Fertiliser Price","1980 October","Compound 18-6-12","Euro per Tonne","175"
"Fertiliser Price","1980 October","Compound 24-2.5-10","Euro per Tonne","168"
"Fertiliser Price","1980 October","Compound 27-2.5-5","Euro per Tonne","166"
"Fertiliser Price","1980 October","Sulphate of Potash (42% K)","Euro per Tonne",""
"Fertiliser Price","1980 October","Compound 8-5-18","Euro per Tonne",""
"Fertiliser Price","1980 October","Compound 20-4-10","Euro per Tonne",""
"Fertiliser Price","1980 October","Sulphate of Ammonia (21%)","Euro per Tonne",""
"Fertiliser Price","1980 October","Ammonium Sulphate Nitrate (26%)","Euro per Tonne",""
"Fertiliser Price","1980 October","Compound 10-5-25","Euro per Tonne",""
"Fertiliser Price","1980 October","Compound 13-6-20","Euro per Tonne",""
"Fertiliser Price","1980 October","Compound 15-3-20","Euro per Tonne",""
"Fertiliser Price","1980 October","Compound 24-2.2-10","Euro per Tonne",""
"Fertiliser Price","1980 October","Compound 24-2.2-4.5","Euro per Tonne",""
"Fertiliser Price","1980 October","Compound 19-0-15","Euro per Tonne",""
"Fertiliser Price","1980 October","Compound 25-4-0","Euro per Tonne",""
"Fertiliser Price","1980 November","Calcium Ammonium Nitrate (27.5% N)","Euro per Tonne","124"
"Fertiliser Price","1980 November","Urea (46% N)","Euro per Tonne","166"
"Fertiliser Price","1980 November","Granular Superphosphate (16% P)","Euro per Tonne","191"
"Fertiliser Price","1980 November","Muriate of Potash (50% K)","Euro per Tonne","121"
"Fertiliser Price","1980 November","Compound 0-10-20","Euro per Tonne","148"
"Fertiliser Price","1980 November","Compound 0-7-30","Euro per Tonne","146"
"Fertiliser Price","1980 November","Compound 7-6-17","Euro per Tonne","176"
"Fertiliser Price","1980 November","Compound 10-10-20","Euro per Tonne","185"
"Fertiliser Price","1980 November","Compound 14-7-14","Euro per Tonne","175"
"Fertiliser Price","1980 November","Compound 18-6-12","Euro per Tonne","176"
"Fertiliser Price","1980 November","Compound 24-2.5-10","Euro per Tonne","168"
"Fertiliser Price","1980 November","Compound 27-2.5-5","Euro per Tonne","165"
"Fertiliser Price","1980 November","Sulphate of Potash (42% K)","Euro per Tonne",""
"Fertiliser Price","1980 November","Compound 8-5-18","Euro per Tonne",""
"Fertiliser Price","1980 November","Compound 20-4-10","Euro per Tonne",""
"Fertiliser Price","1980 November","Sulphate of Ammonia (21%)","Euro per Tonne",""
"Fertiliser Price","1980 November","Ammonium Sulphate Nitrate (26%)","Euro per Tonne",""
"Fertiliser Price","1980 November","Compound 10-5-25","Euro per Tonne",""
